alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.792571965989965,0.03572650224610979,gray,2,hsv,51,95,0.5211828704151722,0.9581592707564762,3,13,rect,close,584,13,0.6521253481275876
5.765010847919289,0.03739034028009818,gray,2,hsv,51,95,0.5205666551006872,0.982593512038892,3,15,rect,close,565,14,0.6457711950365782
5.790717472826192,0.03794056261837536,gray,2,hsv,51,97,0.5224040936828974,0.9542043605901843,3,13,rect,close,565,14,0.6463984349340351
5.8856212676668065,0.03109066234695829,gray,2,hsv,56,97,0.5622945560317651,0.9500746394190218,3,13,rect,close,581,12,0.6532006682369889
5.661124481416615,0.03301665375876215,rgb,2,hsv,56,94,0.5591487066694827,0.9476695161495601,3,13,rect,close,581,11,0.5837759047141459
5.649989643905357,0.034054556967187975,rgb,2,hsv,73,94,0.5567768861258423,0.9629526509681319,3,13,rect,close,600,11,0.5824710887927432
5.895311254688354,0.030949830729618263,gray,2,hsv,61,97,0.5294499404584881,0.9625392777866485,3,13,rect,close,599,12,0.6434429109151577
5.8994246234251415,0.029944630323517792,gray,2,hsv,60,96,0.5266219715658101,0.9498760397435702,3,13,rect,close,574,12,0.6417511689395035
5.8784348284458865,0.03815775986626333,gray,2,hsv,49,96,0.5126466401644199,0.9493043222768095,3,13,rect,close,577,10,0.6469128865128512
5.745299666500009,0.03541282053997405,gray,2,hsv,49,91,0.5149525420171345,0.9567874225404245,3,13,rect,close,584,13,0.6539521632168427
5.746044462806344,0.03583338647086882,gray,2,hsv,56,91,0.5101064993716199,0.9437498748934012,3,13,rect,close,582,10,0.6512195728609639
5.570234086479268,0.034344583772370325,gray,2,hsv,56,90,0.5088420945718958,0.9430706220295534,3,13,rect,close,582,10,0.6582124695658568
5.544985223327225,0.027137690180750983,gray,2,hsv,56,90,0.5460749281688387,0.9551675619438514,3,13,rect,close,584,13,0.6546360719584274
5.539693516920015,0.034387132501661435,gray,2,hsv,56,90,0.5085008826142415,0.9439239263860558,3,13,rect,close,583,10,0.6587060046946421
5.406513036843597,0.02683606388535714,gray,2,hsv,55,90,0.5462576709989453,0.9557418259480573,3,13,rect,close,584,10,0.648866383282586
5.533853469080204,0.02614561726800988,gray,2,hsv,56,90,0.7627850036065446,0.9398817871992131,3,13,rect,close,581,10,0.6304373019851942
5.511342473407339,0.03134921561197944,gray,2,hsv,56,91,0.5228111914739998,0.9424840886831175,3,13,rect,close,574,13,0.6542348254641187
5.445123401884495,0.031178147614127898,gray,2,hsv,55,91,0.5226378456787896,0.9463286479822982,3,13,rect,close,575,13,0.6528986402426217
5.40395747173764,0.03132770966645961,gray,2,hsv,75,91,0.5643396785650084,0.9433223013076002,3,13,rect,open_close,573,13,0.5996384619444619
